No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay ,,,Delay 2,Delay 1,,Jitter
128,3.544378,192.168.1.6,52.74.223.119,TCP,1490,52352  >  443 [ACK] Seq=582 Ack=3681 Win=131840 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
129,3.544378,192.168.1.6,52.74.223.119,TLSv1.3,479,Application Data,,,,,,,,,,,,,,,,,,,
130,3.545486,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,244,Standard query response 0x312a A www.google-analytics.com CNAME www-google-analytics.l.google.com A 172.217.194.101 A 172.217.194.113 A 172.217.194.100 A 172.217.194.102 A 172.217.194.139 A 172.217.194.138,,,,,,,,,,,,,,,,,,,
131,3.54757,192.168.1.6,172.217.194.102,UDP,501,55711  >  443 Len=459,,,,,,,,,,,,,,,,,,,
132,3.547614,52.74.223.119,192.168.1.6,TCP,56,443  >  52353 [ACK] Seq=26124 Ack=4541 Win=76800 Len=0,,,,,,,,,,,,,,,,,,,
133,3.550618,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,164,Standard query response 0xd7bf A user-images.githubusercontent.com CNAME github.map.fastly.net A 151.101.8.133,,,,,,,,,,,,,,,,,,,
134,3.565217,140.82.112.26,192.168.1.6,TCP,54,443  >  52246 [ACK] Seq=1 Ack=189 Win=71 Len=0,,,,,,,,,,,,,,,,,,,
135,3.56557,192.168.1.6,151.101.8.133,TCP,54,52355  >  443 [ACK] Seq=1205 Ack=665 Win=131328 Len=0,,,,,,,,,,,,,,,,,,,
136,3.566141,192.168.1.6,52.74.223.119,TCP,66,52356  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,
137,3.566323,140.82.112.26,192.168.1.6,TLSv1.2,127,Application Data,,,,,,,,,,,,,,,,,,,
138,3.566439,192.168.1.6,140.82.112.26,TCP,54,"52246  >  443 [RST, ACK] Seq=220 Ack=74 Win=0 Len=0",,,,,,,,,,,,,,,,,,,
139,3.567653,192.168.1.6,52.74.223.119,TCP,66,52357  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,
140,3.567815,172.217.194.102,192.168.1.6,UDP,307,443  >  55711 Len=265,,,,,,,,,,,,,,,,,,,
141,3.568795,52.74.223.119,192.168.1.6,TCP,56,443  >  52352 [ACK] Seq=3681 Ack=2443 Win=70656 Len=0,,,,,,,,,,,,,,,,,,,
142,3.575688,140.82.112.26,192.168.1.6,TLSv1.2,80,Application Data,,,,,,,,,,,,,,,,,,,
143,3.575822,192.168.1.6,140.82.112.26,TCP,54,52246  >  443 [RST] Seq=220 Win=0 Len=0,,,,,,,,,,,,,,,,,,,
144,3.576328,140.82.112.26,192.168.1.6,TLSv1.2,78,Application Data,,,,,,,,,,,,,,,,,,,
145,3.576364,192.168.1.6,140.82.112.26,TCP,54,52246  >  443 [RST] Seq=220 Win=0 Len=0,,,,,,,,,,,,,,,,,,,
146,3.585712,52.74.223.119,192.168.1.6,TCP,66,"443  >  52356 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM=1 WS=1024",,,,,,,,,,,,,,,,,,,
147,3.586035,192.168.1.6,52.74.223.119,TCP,54,52356  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
148,3.587528,192.168.1.6,52.74.223.119,TLSv1.3,571,Client Hello,,,,,,,,,,,,,,,,,,,
149,3.587632,52.74.223.119,192.168.1.6,TCP,66,"443  >  52357 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM=1 WS=1024",,,,,,,,,,,,,,,,,,,
150,3.587837,192.168.1.6,52.74.223.119,TCP,54,52357  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
151,3.588359,192.168.1.6,52.74.223.119,TLSv1.3,571,Client Hello,,,,,,,,,,,,,,,,,,,
152,3.594699,192.168.1.6,172.217.194.102,UDP,75,55711  >  443 Len=33,,,,,,,,,,,,,,,,,,,
153,3.608647,52.74.223.119,192.168.1.6,TLSv1.3,298,"Server Hello, Change Cipher Spec, Application Data, Application Data",,,,,,,,,,,,,,,,,,,
154,3.611474,192.168.1.6,52.74.223.119,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,
155,3.611702,52.74.223.119,192.168.1.6,TLSv1.3,1490,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,
156,3.611702,52.74.223.119,192.168.1.6,TCP,1490,443  >  52357 [ACK] Seq=1437 Ack=518 Win=67584 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
157,3.611702,52.74.223.119,192.168.1.6,TLSv1.3,704,"Application Data, Application Data, Application Data",,,,,,,,,,,,,,,,,,,
158,3.611974,192.168.1.6,52.74.223.119,TCP,54,52357  >  443 [ACK] Seq=518 Ack=3523 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
159,3.614958,192.168.1.6,52.74.223.119,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,
160,3.616479,192.168.1.6,52.74.223.119,TCP,1490,52356  >  443 [ACK] Seq=582 Ack=245 Win=131840 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
161,3.616479,192.168.1.6,52.74.223.119,TLSv1.3,508,Application Data,,,,,,,,,,,,,,,,,,,
162,3.617005,192.168.1.6,52.74.223.119,TCP,1490,52357  >  443 [ACK] Seq=582 Ack=3523 Win=132096 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
163,3.617005,192.168.1.6,52.74.223.119,TLSv1.3,497,Application Data,,,,,,,,,,,,,,,,,,,
